
name,price,pulish,commit
现货,170.80,荣丰通达图书专营店,0
程序设计导论：,109.80,闻知图书专营店,0
测试之道,49.00,闻知图书专营店,0
可以这样学,55.20,闻知图书专营店,0
高性能 第2版,46.50,人民邮电出版社65周年社庆,50+
测试之道,47.10,,900+
编程之美 最佳实践指南,48.10,文轩网旗舰店,0
玩转Django 2.0 黄永祥 深入剖析Django 2.0 ,48.80,蓝墨水图书专营店,20+
包邮 OpenCV 3计算机视觉：,34.30,互动创新图书专营店,10+
图灵程序设计丛书·Flask Web开发：基于,46.50,人民邮电出版社65周年社庆,3300+
3.5从零开始学,38.40,文轩网旗舰店,100+
 3 面向对象编程（第2版）,78.00,电子工业出版社,100+
数据分析 第2版,56.40,,300+
可以这样学,61.40,清华大学出版社,800+
零基础入门学习,34.80,墨马图书旗舰店,400+
数据科学导论：,48.70,机械工业出版社,70+
3面向对象编程(第2版),72.30,文轩网旗舰店,0
自然语言处理,69.30,机械工业出版社,10+
编程快速上手 ,41.40,墨马图书旗舰店,300+
与数据挖掘,40.40,机械工业出版社,1.8万+
现货,170.80,荣丰通达图书专营店,0
程序员学,72.09,欣雅轩图书专营店,0
从零开始学,65.57,欣雅轩图书专营店,0
跟老齐学,56.58,欣雅轩图书专营店,0
并行编程手册,48.38,欣雅轩图书专营店,0
数据可视化之matplotlib实践,47.60,,7100+
3网络爬虫开发实战崔庆才 Scrapy数据分析处理手册数据抓取指南 计算机编程语言 默认47,62.00,世纪书缘专营店,100+
高性能 第2版,46.50,,50+
OpenCV 3计算机视觉：,38.10,机械工业出版社,3100+
数据分析基础,54.40,人民邮电出版社65周年社庆,2000+
基础教程 第3版,68.00,凤凰新华书店旗舰店,200+
正版现货 数据结构与算法：,76.30,互动创新图书专营店,40+
从菜鸟到高手 ,83.20,文轩网旗舰店,10+
深度学习,48.20,,4.3万+
 Qt GUI快速编程：PyQt编程指南,62.30,电子工业出版社,1100+
流畅的,89.00,华纳博文图书专营店,10+
机器学习实战（,114.80,文轩网教育考试专营店,1
自然语言处理实战,58.00,文轩网教育考试专营店,0
高级编程(第2版),56.90,文轩网教育考试专营店,1
数据抓取技术与实战,38.20,文轩网教育考试专营店,0
编程(从入门到实践)/图灵程序设计丛书,64.08,博库网旗舰店,10+
华章程序员书库·,53.60,机械工业出版社,900+
绝技：运用,55.00,华心图书专营店,4
零基础入门学习,35.00,赣江图书专营店,500+
和Pygame游戏开发指南 ,37.76,五星同辉图书专营店,0
趣味编程入门,40.00,,30+
贝叶斯分析,44.10,文轩网教育考试专营店,3
 3.7从零开始学,69.50,清华大学出版社,10+
文本分析,71.10,机械工业出版社,300+
数据可视化编程实战 第2版,56.40,人民邮电出版社65周年社庆,60+
PySpark实战指南：利用,44.10,机械工业出版社,1.8万+
编程-从入门到实践 从基本概念到完整项目开发 机器学习 数据处理 编程语言程序设计,64.00,凤凰新华书店旗舰店,70+
机器学习经典实例,46.50,,5.5万+
图灵教育 ,69.90,三新文化图书专营店,10+
机器学习经典实例,42.50,文轩网旗舰店,40+
包邮现货Effective ,40.00,互动创新图书专营店,70+
教孩子学编程（,47.79,欣雅轩图书专营店,0
毫无障碍学,46.40,欣雅轩图书专营店,0
自动化平台测试开发：,55.20,读买天下图书专营店,0
编程(从入门到实践)/图灵程序设计丛书,64.08,博库网旗舰店,10+
基础教程(第2版),38.80,闻知图书专营店,0
Selenium 2自动化测试实战 基于,47.60,电子工业出版社,7900+
用,40.00,人民邮电出版社65周年社庆,9800+
测试之道,47.10,人民邮电出版社65周年社庆,900+
 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案,61.30,机械工业出版社,2.1万+
零压力学,62.30,,14万+
" Cookbook(中文版,第3版)",68.00,文轩网旗舰店,500+
数据分析入门――从数据获取到可视化,41.60,电子工业出版社,7100+
利用,57.90,文轩网旗舰店,1500+
参考手册(第4版·修订版),43.60,文轩网旗舰店,30+
传智播客,298.00,赣江图书专营店,10+
数据科学入门,38.60,,1.1万+
21天学通,49.60,文轩网教育考试专营店,0
密码学编程,44.10,文轩网教育考试专营店,0
从,38.20,文轩网教育考试专营店,0
基础教程,34.70,文轩网教育考试专营店,0
精通,51.70,闻知图书专营店,0
【R】人邮新书 ,71.35,三新文化图书专营店,3
包邮 软件架构：,55.30,互动创新图书专营店,0
父与子的编程之旅(与小卡特一起学,49.88,火把图书专营店,2
包邮 ,95.80,兰兴达图书专营店,6
编程快速上手 让繁琐工作自动化,33.80,文轩网旗舰店,300+
教孩子学编程+趣学,130.90,墨马图书旗舰店,60+
深度学习：基于TensorFlow 计算机与互联网 书籍|8052596,55.30,互动出版网图书专营店,3
教孩子学编程,58.20,多远图书专营店,20+
深度学习入门 基于,46.50,人民邮电出版社65周年社庆,4.3万+
：统计人的视角/统计数据分析与应用丛书,29.80,,300+
软件架构：,60.40,机械工业出版社,200+
(全彩版）2本 教孩子学编程,58.00,经纶风图书专营店,30+
 Web开发实战 董伟明,79.80,诺鼎言图书专营店,10+
学习手册:第4版 计算机与互联网 书籍|197976,83.30,互动出版网图书专营店,400+
机器学习系统设计：,47.20,闻知图书专营店,0
机器学习实践：测试驱动的开发方法,39.53,芝麻开门图书专营店,0
程序设计案例教程,43.70,文轩网旗舰店,0
高性能,54.60,文轩网旗舰店,3
计算机视觉编程,54.40,人民邮电出版社65周年社庆,2200+
数据分析从入门到精通,55.70,电子工业出版社,1.1万+
带我起飞 入门、进阶、商业实战,55.70,电子工业出版社,6300+
语言及其应用,62.30,人民邮电出版社65周年社庆,1500+
编程快速上手 ,41.40,墨马图书旗舰店,300+
物理建模初学者指南,37.20,文轩网旗舰店,5
程序员学,72.70,人民邮电出版社65周年社庆,14万+
利用,56.66,芝麻开门图书专营店,7
利用,77.30,墨马图书旗舰店,9
【正版包邮】笨办法学,34.50,馨予图书专营店,50+
语言在Abaqus中的应用（附CD-ROM光盘1张）,39.60,机械工业出版社,4800+
【RY】教孩子学编程,29.50,三新文化图书专营店,0
地理数据处理,64.50,人民邮电出版社65周年社庆,400+
高级编程,44.30,清华大学出版社,1000+
袖珍指南（第5版）,32.90,中国电力出版社,2.5万+
网络编程（第3版）,62.30,人民邮电出版社65周年社庆,1000+
编程从入门到实践,52.80,润知天下图书专营店,200+
地理空间分析指南（第2版）,64.50,人民邮电出版社65周年社庆,900+
数据分析 第2版（影印版）,75.70,,400+
现货正版零起点,118.00,义博图书专营店,2
跟老齐学,53.10,电子工业出版社,4400+
 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南,62.00,凤凰新华书店旗舰店,200+
游戏编程快速上手(第4版),33.80,文轩网旗舰店,6
核心编程 第3版,77.00,文轩网旗舰店,700+
零基础学,39.90,拓创图书专营店,80+
量化投资：以,71.60,电子工业出版社,1.5万+
数据处理,78.00,人民邮电出版社65周年社庆,1400+
文本分析 计算机与互联网 书籍|7836736,55.30,互动出版网图书专营店,10+
【R】 Flask Web开发 基于,44.85,三新文化图书专营店,0
父与子的编程之旅 与小卡特一起学,46.00,墨马图书旗舰店,100+
机器学习实践:测试驱动的开发方法 ,46.00,旷氏文豪图书专营店,0
Selenium自动化测试 基于,39.80,旷氏文豪图书专营店,2
